PMERELG	clswrkr	GEDIV	A_ERNLWT	educ	marstat	sex	union	ERN_SRCE	ERN_VAL	WEWKRS	WEXP	WEMIND	WEIND	WEMOCG	POCCU2	occ	ind	PMHRUSLT	race	hispanic	age	disabled	HEFAMINC	PTFT	hrwage
1	1	1	0	39	1	2	0	1	21000	2	7	10	16	17	40	5	10	30	1	2	53	1	13	1	NA
1	2	1	1934.9	39	1	1	0	1	32500	2	7	6	8	17	40	5	6	30	1	2	47	2	14	1	15.15
1	3	1	1918.79	44	1	1	2	1	100000	1	1	8	11	1	1	1	8	40	1	2	62	2	16	2	48.075
1	1	1	0	39	7	2	0	1	10000	4	9	10	16	17	40	5	10	32	1	2	33	2	13	1	NA
1	1	1	0	40	7	1	0	1	59000	2	7	10	15	14	35	3	10	-4	1	2	20	2	12	1	NA
1	1	1	3135.77	39	7	1	2	1	50000	1	1	6	9	20	48	8	6	40	1	2	22	2	7	2	22
1	1	1	2416.22	40	7	2	2	1	9000	4	8	10	15	6	17	2	10	20	1	2	19	2	15	1	10
1	1	1	0	39	1	1	0	1	38002	1	1	10	16	20	48	8	10	40	1	2	39	2	11	2	NA
1	1	1	0	41	1	2	0	1	47000	1	1	10	16	11	28	3	10	46	1	2	46	2	15	2	NA
1	1	1	1819.79	39	5	2	2	1	19000	1	1	11	18	13	32	3	11	35	1	2	56	2	11	2	9.75
1	4	1	2514.63	43	1	1	0	1	34000	1	1	10	15	8	21	2	10	50	1	2	43	2	14	2	13.08
1	1	1	2612.15	46	1	1	2	1	15000	2	7	9	13	5	13	2	9	50	1	2	36	2	15	2	18.46
1	1	1	2795.79	43	1	1	2	1	48000	1	1	10	15	3	8	2	10	40	1	2	27	2	12	2	22.825
1	1	1	0	37	7	1	0	1	5500	4	11	5	7	17	40	5	5	20	1	2	18	2	13	1	NA
1	1	1	0	39	7	2	0	1	12000	4	9	10	16	11	28	3	10	32	1	2	20	2	8	1	NA
1	1	1	2105.09	40	1	2	2	1	26520	1	1	10	16	17	40	5	10	40	1	2	29	1	10	2	12.75
1	1	1	2194.59	35	7	2	2	1	23000	1	1	11	18	14	35	3	11	35	1	2	61	2	6	2	8.25
1	1	1	2461.05	40	7	2	2	1	18000	2	7	10	15	12	31	3	10	-4	1	2	20	2	15	1	7.65
1	1	1	2123.22	38	5	2	2	1	55000	1	1	5	7	16	38	4	5	40	1	2	46	2	15	2	5.625
1	1	1	1937.28	39	1	1	2	1	50000	1	1	5	7	16	38	4	5	-4	1	2	49	2	10	1	NA
1	1	1	2123.22	39	5	2	2	1	25000	1	1	11	18	13	32	3	11	48	1	2	47	2	5	2	11.6
1	1	1	0	39	7	2	0	1	21000	1	1	4	5	14	35	3	4	36	1	2	35	2	10	2	NA
1	1	1	1946.85	42	1	1	2	1	200000	1	1	4	4	16	39	4	4	52	1	2	61	2	15	2	22.173077
1	1	1	2493.97	40	7	2	2	1	14000	1	1	5	7	16	39	4	5	30	1	2	22	2	4	1	11.5
1	1	1	0	39	7	1	0	1	29000	1	1	2	2	19	42	7	3	40	1	2	35	2	9	2	NA
1	1	1	2615.36	43	1	1	2	1	65000	1	1	5	6	16	39	4	5	40	1	2	38	2	13	2	57.3
1	1	1	1921.15	40	1	1	2	1	15000	1	1	10	16	15	37	3	10	70	1	2	61	2	12	2	9
1	1	1	2517.72	44	1	1	0	1	105000	1	1	6	8	22	50	10	6	48	1	2	43	2	15	2	42.0625
1	4	1	2144.62	43	1	2	0	1	35000	1	1	10	15	8	21	2	10	40	1	2	32	2	14	2	16.825
1	1	1	0	40	5	1	0	1	52000	1	1	9	13	3	8	2	9	70	1	2	42	2	8	2	NA
1	1	1	0	44	1	1	0	1	409068	1	1	4	4	1	1	1	4	60	6	2	46	2	16	2	NA
1	1	1	0	40	7	2	0	1	5000	2	7	5	7	16	39	4	5	15	1	2	18	2	14	1	NA
1	1	1	2123.22	39	5	2	2	1	19000	1	1	10	16	10	27	2	10	40	1	2	46	2	14	2	37
1	1	1	2615.36	42	1	1	2	1	63000	1	1	10	16	3	8	2	10	45	1	2	39	2	14	2	26.933333
1	1	1	2105.09	43	1	2	2	1	32000	1	1	10	15	8	21	2	10	40	1	2	26	2	9	2	16
1	1	1	2615.36	44	1	1	2	1	100000	1	1	9	13	4	12	2	9	55	1	2	37	2	16	2	35.454545
1	1	1	1822.03	42	4	2	2	1	16000	1	1	10	16	14	35	3	10	40	1	2	56	2	6	2	8.75
1	1	1	1822.03	44	7	2	2	1	85000	1	1	10	16	8	21	2	10	53	1	2	58	2	14	2	30.849057
1	1	1	3139.63	39	7	1	2	0	0	5	13	15	23	24	53	4	5	40	1	2	21	2	15	2	20
1	1	1	0	39	1	1	0	1	52000	1	1	4	4	21	49	9	4	36	1	2	47	2	7	2	NA
1	4	1	2022.49	43	1	2	1	1	38000	3	3	10	15	8	21	2	10	21	1	2	29	2	12	1	29.52381
1	4	1	0	40	1	2	0	1	52000	1	1	13	21	1	3	1	13	40	1	2	45	2	14	2	NA
1	1	1	1965.83	39	1	1	2	1	26000	3	2	3	3	19	42	2	9	40	1	2	42	2	10	2	25.35
1	1	1	1958.34	39	1	1	2	1	56916	1	1	4	4	1	1	1	4	-4	1	2	49	2	15	1	NA
1	1	1	0	42	3	2	0	1	40000	2	7	10	16	10	25	2	10	30	1	2	38	2	11	1	NA
1	1	1	0	43	1	1	0	1	120000	1	1	9	13	1	1	1	9	50	1	2	32	2	16	2	NA
1	1	1	0	40	7	2	0	1	9000	1	1	10	16	11	28	3	12	45	1	2	24	2	16	2	NA
1	1	1	0	40	1	1	0	1	48000	1	1	5	6	22	51	10	5	50	1	2	48	2	12	2	NA
1	1	1	2414.73	43	7	2	2	0	0	5	13	15	23	24	53	2	10	25	1	2	23	2	11	1	13.46
1	4	1	1901.62	41	1	1	2	1	7000	4	11	6	8	19	46	7	6	-4	1	2	61	2	13	1	12.7
1	3	1	2246.05	44	1	2	0	1	65002	1	1	13	21	2	6	1	13	38	1	2	62	2	15	2	32.894737
1	1	1	0	35	1	1	0	1	50000	1	1	3	3	19	44	7	3	55	1	2	52	2	15	2	NA
1	1	1	2033.27	44	1	2	0	1	40000	3	3	10	15	8	21	2	10	40	1	2	33	2	15	2	25
1	1	1	1917.59	39	1	1	2	1	84000	1	1	4	4	21	49	9	4	48	1	2	49	2	16	2	25
1	1	1	2400.41	40	7	1	2	1	6000	3	4	4	4	22	51	10	4	15	1	2	20	2	13	1	12.42
1	1	1	2364.48	40	7	2	2	1	802	4	10	10	15	16	39	4	10	12	1	2	21	2	3	1	7.25
1	1	1	2140.15	43	7	1	2	1	50000	1	1	5	7	16	39	4	5	40	1	2	25	2	13	2	12.5
1	1	1	2400.41	37	7	1	2	1	6000	2	7	5	7	16	39	4	5	-4	1	2	21	2	14	1	9.8
1	1	1	0	44	6	2	0	1	42002	1	1	10	16	10	25	2	10	40	1	2	54	2	11	2	NA
1	1	1	0	39	1	2	0	1	24000	1	1	4	4	21	49	9	4	40	6	2	55	2	8	2	NA
1	1	1	2022.36	43	1	1	2	1	65335	3	3	9	14	2	6	1	9	40	1	2	56	2	15	2	25
1	1	1	2000.25	39	5	1	2	1	30000	1	1	3	3	19	44	7	3	40	1	2	50	2	13	2	26
1	1	1	1930.47	40	1	1	2	1	34000	1	1	10	15	17	40	5	4	40	1	2	40	2	10	2	12.925
1	1	1	2028.32	43	3	2	2	1	6000	3	5	12	20	17	40	5	12	40	1	2	26	2	4	2	5.75
1	1	1	2042.07	44	1	1	2	1	110000	1	1	9	13	3	8	2	9	50	1	2	38	2	16	2	46.92
1	1	1	2179.26	42	7	2	2	1	42000	1	1	4	4	22	50	10	4	40	1	2	45	1	11	2	22
1	1	1	0	40	1	1	0	1	62000	1	1	6	8	22	51	10	6	-4	1	2	41	2	14	1	NA
1	4	1	0	39	1	1	0	1	26000	1	1	10	15	14	35	3	10	40	1	2	34	2	15	2	NA
1	1	1	1397.98	39	5	2	2	1	42000	1	1	4	5	17	40	5	4	42	1	2	37	2	14	2	22.07
1	1	1	0	43	1	1	0	1	70000	1	1	4	4	20	48	8	4	50	1	2	51	2	15	2	NA
1	1	1	1243.79	40	1	1	2	1	41600	1	1	3	3	19	45	7	3	40	1	2	45	2	12	2	19.5
1	1	1	1454.33	39	1	2	2	1	40000	1	1	4	4	21	49	9	4	40	1	2	32	2	11	2	9.8
1	1	1	0	39	7	2	0	2	20782	1	1	10	16	15	37	3	10	99	1	2	49	2	7	2	NA
1	1	1	0	42	1	2	0	1	60000	1	1	10	16	10	25	2	10	48	1	2	38	2	12	2	NA
1	1	1	1329.71	43	1	2	2	1	2000	4	9	11	17	15	37	3	11	3	1	2	42	2	15	1	25
